OrderLineID,OrderID,LineNumber,ProductID,Quantity,UnitPrice,DiscountAmount,TaxAmount,LineTotal
ORD2000-01,ORD2000,1,MMI059,1,999,17.89,98.11,1079.22
ORD2000-02,ORD2000,2,MMI020,1,1169,0,116.9,1285.9
ORD2000-03,ORD2000,3,MMI004,1,1599,9.57,158.94,1748.37
ORD2000-04,ORD2000,4,MMI051,2,22,13.2,3.08,33.88
ORD2000-05,ORD2000,5,MMI058,1,6999,0,699.9,7698.9
ORD2001-01,ORD2001,1,MMI058,1,6999,0,699.9,7698.9
ORD2001-02,ORD2001,2,MMI053,6,129,0,77.4,851.4
ORD2001-03,ORD2001,3,MMI041,1,449,0,44.9,493.9
ORD2002-01,ORD2002,1,MMI052,5,29,0,14.5,159.5
ORD2002-02,ORD2002,2,MMI048,2,89,0,17.8,195.8
ORD2002-03,ORD2002,3,MMI014,2,649,0,129.8,1427.8
ORD2003-01,ORD2003,1,MMI010,2,749,0,149.8,1647.8
ORD2003-02,ORD2003,2,MMI053,1,129,0,12.9,141.9
ORD2003-03,ORD2003,3,MMI044,2,59,0,11.8,129.8
ORD2004-01,ORD2004,1,MMI005,1,499,0,49.9,548.9
ORD2004-02,ORD2004,2,MMI011,1,1399,27.96,137.1,1508.14
ORD2005-01,ORD2005,1,MMI056,2,1699,0,339.8,3737.8
ORD2005-02,ORD2005,2,MMI008,1,1199,0,119.9,1318.9
ORD2005-03,ORD2005,3,MMI002,2,1199,0,239.8,2637.8
ORD2005-04,ORD2005,4,MMI051,3,22,0,6.6,72.6
ORD2005-05,ORD2005,5,MMI011,1,1399,0,139.9,1538.9
ORD2006-01,ORD2006,1,MMI056,2,1699,0,339.8,3737.8
ORD2006-02,ORD2006,2,MMI016,1,649,0,64.9,713.9
ORD2007-01,ORD2007,1,MMI020,2,1169,0,233.8,2571.8
ORD2007-02,ORD2007,2,MMI038,2,1799,5.25,359.28,3952.03
ORD2007-03,ORD2007,3,MMI001,1,1299,0,129.9,1428.9
ORD2007-04,ORD2007,4,MMI004,1,1599,0,159.9,1758.9
ORD2007-05,ORD2007,5,MMI029,1,399,0,39.9,438.9
ORD2008-01,ORD2008,1,MMI034,1,1699,0,169.9,1868.9
ORD2008-02,ORD2008,2,MMI024,1,1499,62.84,143.62,1579.78
ORD2008-03,ORD2008,3,MMI051,2,22,0,4.4,48.4
ORD2008-04,ORD2008,4,MMI027,1,799,0,79.9,878.9
ORD2009-01,ORD2009,1,MMI015,2,799,0,159.8,1757.8
ORD2009-02,ORD2009,2,MMI012,2,1299,0,259.8,2857.8
ORD2010-01,ORD2010,1,MMI028,1,1399,0,139.9,1538.9
ORD2010-02,ORD2010,2,MMI026,1,2799,17.79,278.12,3059.33
ORD2010-03,ORD2010,3,MMI055,1,1599,5.65,159.34,1752.69
ORD2010-04,ORD2010,4,MMI035,1,449,23.45,42.56,468.11
ORD2011-01,ORD2011,1,MMI004,1,1599,0,159.9,1758.9
ORD2011-02,ORD2011,2,MMI025,1,1399,0,139.9,1538.9
ORD2012-01,ORD2012,1,MMI032,2,429,0,85.8,943.8
ORD2012-02,ORD2012,2,MMI012,1,1299,23.85,127.52,1402.67
ORD2012-03,ORD2012,3,MMI018,1,1199,0,119.9,1318.9
ORD2012-04,ORD2012,4,MMI014,2,649,0,129.8,1427.8
ORD2013-01,ORD2013,1,MMI025,1,1399,14.74,138.43,1522.69
ORD2013-02,ORD2013,2,MMI049,6,35,0,21,231
ORD2013-03,ORD2013,3,MMI007,1,2399,0,239.9,2638.9
ORD2013-04,ORD2013,4,MMI032,1,429,22.46,40.65,447.19
ORD2014-01,ORD2014,1,MMI045,1,49,14.7,3.43,37.73
ORD2014-02,ORD2014,2,MMI023,1,2999,0,299.9,3298.9
ORD2014-03,ORD2014,3,MMI057,1,3299,7.33,329.17,3620.84
ORD2014-04,ORD2014,4,MMI016,1,649,0,64.9,713.9
ORD2015-01,ORD2015,1,MMI054,2,1299,0,259.8,2857.8
ORD2015-02,ORD2015,2,MMI045,2,49,0,9.8,107.8
ORD2015-03,ORD2015,3,MMI041,1,449,0,44.9,493.9
ORD2016-01,ORD2016,1,MMI026,1,2799,0,279.9,3078.9
ORD2016-02,ORD2016,2,MMI024,2,1499,0,299.8,3297.8
ORD2016-03,ORD2016,3,MMI035,1,449,0,44.9,493.9
ORD2017-01,ORD2017,1,MMI039,1,999,0,99.9,1098.9
ORD2017-02,ORD2017,2,MMI042,1,1199,0,119.9,1318.9
ORD2017-03,ORD2017,3,MMI032,1,429,0,42.9,471.9
ORD2018-01,ORD2018,1,MMI035,1,449,0,44.9,493.9
ORD2018-02,ORD2018,2,MMI014,1,649,0,64.9,713.9
ORD2019-01,ORD2019,1,MMI001,1,1299,0,129.9,1428.9
ORD2019-02,ORD2019,2,MMI055,1,1599,0,159.9,1758.9
ORD2019-03,ORD2019,3,MMI022,1,1199,0,119.9,1318.9
ORD2020-01,ORD2020,1,MMI011,1,1399,0,139.9,1538.9
ORD2020-02,ORD2020,2,MMI026,2,2799,0,559.8,6157.8
ORD2020-03,ORD2020,3,MMI006,1,949,0,94.9,1043.9
ORD2020-04,ORD2020,4,MMI037,2,749,21.02,147.7,1624.68
ORD2021-01,ORD2021,1,MMI001,1,1299,0,129.9,1428.9
ORD2021-02,ORD2021,2,MMI055,1,1599,0,159.9,1758.9
ORD2021-03,ORD2021,3,MMI030,1,169,21.83,14.72,161.89
ORD2021-04,ORD2021,4,MMI028,1,1399,0,139.9,1538.9
ORD2022-01,ORD2022,1,MMI030,1,169,18.87,15.01,165.14
ORD2022-02,ORD2022,2,MMI035,2,449,0,89.8,987.8
ORD2022-03,ORD2022,3,MMI059,1,999,0,99.9,1098.9
ORD2022-04,ORD2022,4,MMI026,2,2799,17.81,558.02,6138.21
ORD2022-05,ORD2022,5,MMI015,2,799,0,159.8,1757.8
ORD2023-01,ORD2023,1,MMI010,2,749,0,149.8,1647.8
ORD2023-02,ORD2023,2,MMI024,1,1499,0,149.9,1648.9
ORD2024-01,ORD2024,1,MMI043,1,39,0,3.9,42.9
ORD2024-02,ORD2024,2,MMI005,1,499,0,49.9,548.9
ORD2024-03,ORD2024,3,MMI038,1,1799,0,179.9,1978.9
ORD2024-04,ORD2024,4,MMI004,2,1599,17.84,318.02,3498.18
ORD2025-01,ORD2025,1,MMI001,1,1299,28.93,127.01,1397.08
ORD2025-02,ORD2025,2,MMI050,2,499,0,99.8,1097.8
ORD2025-03,ORD2025,3,MMI053,1,129,0,12.9,141.9
ORD2026-01,ORD2026,1,MMI057,1,3299,0,329.9,3628.9
ORD2026-02,ORD2026,2,MMI017,1,999,0,99.9,1098.9
ORD2027-01,ORD2027,1,MMI042,1,1199,0,119.9,1318.9
ORD2027-02,ORD2027,2,MMI041,1,449,19.21,42.98,472.77
ORD2027-03,ORD2027,3,MMI007,1,2399,0,239.9,2638.9
ORD2028-01,ORD2028,1,MMI006,1,949,0,94.9,1043.9
ORD2028-02,ORD2028,2,MMI058,2,6999,0,1399.8,15397.8
ORD2028-03,ORD2028,3,MMI013,2,3999,0,799.8,8797.8
ORD2029-01,ORD2029,1,MMI048,1,89,12.12,7.69,84.57
ORD2029-02,ORD2029,2,MMI035,1,449,0,44.9,493.9
ORD2030-01,ORD2030,1,MMI030,1,169,0,16.9,185.9
ORD2030-02,ORD2030,2,MMI024,1,1499,0,149.9,1648.9
ORD2030-03,ORD2030,3,MMI005,1,499,0,49.9,548.9
ORD2030-04,ORD2030,4,MMI058,1,6999,0,699.9,7698.9
ORD2030-05,ORD2030,5,MMI057,1,3299,0,329.9,3628.9
ORD2031-01,ORD2031,1,MMI012,1,1299,0,129.9,1428.9
ORD2031-02,ORD2031,2,MMI041,1,449,0,44.9,493.9
ORD2032-01,ORD2032,1,MMI011,1,1399,0,139.9,1538.9
ORD2032-02,ORD2032,2,MMI009,2,799,0,159.8,1757.8
ORD2033-01,ORD2033,1,MMI008,1,1199,0,119.9,1318.9
ORD2033-02,ORD2033,2,MMI043,2,39,11.23,6.68,73.45
