CustomerID,OrderDate,PaymentMethod,OrderTotal
CUST181,2024-11-28 23:17:34,Credit Card,11891.0
CUST194,2024-02-03 11:33:23,Credit Card,9037.04
CUST128,2025-04-20 03:01:51,Credit Card,1783.1
CUST113,2023-07-23 08:19:47,PayPal,1876.93
CUST169,2024-07-29 17:22:03,Credit Card,2087.8
CUST154,2023-12-09 00:12:15,Credit Card,9306.0
CUST111,2023-12-02 14:58:09,Credit Card,4441.46
CUST164,2023-09-19 02:19:41,Debit Card,10122.44
CUST171,2025-06-01 11:35:46,Credit Card,4305.09
CUST183,2024-11-12 01:10:58,PayPal,4615.6
CUST153,2023-03-24 04:49:33,Credit Card,6870.6
CUST175,2023-06-07 18:08:04,Credit Card,3276.16
CUST100,2024-06-22 11:12:17,PayPal,5119.4
CUST120,2023-10-31 10:18:37,PayPal,4880.7
CUST143,2024-02-29 01:56:48,Credit Card,7669.75
CUST127,2023-10-20 17:28:29,Afterpay,3446.93
CUST143,2024-02-21 06:43:01,Credit Card,6870.6
CUST148,2025-05-19 03:34:44,Credit Card,2889.7
CUST144,2023-08-21 09:57:53,Debit Card,1196.83
CUST105,2023-11-25 04:52:18,PayPal,4442.2
CUST168,2023-06-25 14:02:01,Credit Card,10388.4
CUST148,2024-06-20 01:44:56,Credit Card,4912.6
CUST137,2024-01-29 00:32:44,Apple Pay,10188.2
CUST179,2023-08-28 19:07:33,Google Pay,3276.64
CUST146,2023-01-13 10:36:01,Debit Card,6088.5
CUST190,2024-05-07 22:34:08,Credit Card,2668.6
CUST184,2024-04-27 10:12:37,Credit Card,4661.06
CUST137,2023-03-17 03:17:58,Afterpay,4310.24
CUST129,2023-02-05 04:31:07,Apple Pay,25239.5
CUST148,2024-01-05 15:00:46,Credit Card,562.43
CUST181,2025-08-20 15:43:38,Apple Pay,13674.9
CUST120,2024-04-25 18:24:15,Credit Card,1922.8
CUST126,2023-12-11 04:27:47,PayPal,3296.7
CUST189,2025-01-02 13:13:24,Google Pay,4570.5
CUST182,2024-05-14 22:19:56,Credit Card,357.5
CUST181,2024-06-05 06:34:10,Credit Card,6623.91
CUST193,2024-12-16 09:02:08,Credit Card,3820.91
CUST159,2023-01-20 07:25:21,Credit Card,9041.61
CUST181,2023-09-27 19:58:31,PayPal,2355.1
CUST128,2024-04-22 14:47:46,PayPal,1317.8
CUST198,2025-07-09 14:02:11,PayPal,7915.6
CUST129,2023-11-21 14:40:17,Apple Pay,7018.79
CUST140,2023-06-17 23:44:14,Credit Card,4004.09
CUST108,2024-10-14 09:27:46,Credit Card,6194.49
CUST172,2023-03-04 20:53:39,Apple Pay,2042.7
CUST140,2024-01-29 18:06:54,Credit Card,6321.7
CUST163,2025-05-21 02:06:17,Credit Card,3346.44
CUST182,2024-01-04 10:47:02,Debit Card,4080.99
CUST133,2023-07-16 01:11:01,Credit Card,5749.01
CUST195,2025-05-30 22:35:35,Debit Card,11599.5
CUST133,2023-02-26 14:04:44,PayPal,9237.8
CUST154,2024-02-25 18:51:17,Google Pay,1894.2
CUST151,2024-12-14 22:37:27,Credit Card,1284.8
CUST117,2024-07-07 05:34:49,Debit Card,2589.91
CUST111,2023-12-25 19:05:06,PayPal,5122.73
CUST114,2024-09-03 21:14:40,Credit Card,2898.16
CUST120,2024-06-28 13:28:07,PayPal,7377.3
CUST154,2024-07-15 06:45:16,Debit Card,3625.6
CUST149,2023-11-10 03:05:53,Credit Card,3517.8
CUST159,2024-12-09 05:03:22,Debit Card,8010.2
CUST170,2024-03-23 15:43:16,Apple Pay,1592.8
CUST101,2024-11-02 19:15:27,PayPal,3646.5
CUST114,2025-07-18 15:09:16,PayPal,5897.66
CUST168,2023-01-11 04:17:39,PayPal,4945.6
CUST198,2024-06-05 03:40:02,Debit Card,5347.1
CUST114,2024-05-14 01:11:26,Credit Card,6375.6
CUST120,2024-11-27 01:51:23,Debit Card,7031.2
CUST192,2024-02-07 14:11:30,Apple Pay,2057.49
CUST133,2024-11-08 14:25:10,Afterpay,7415.1
CUST197,2024-10-31 07:18:55,Credit Card,6320.6
CUST113,2025-03-23 06:35:04,Apple Pay,9367.35
CUST138,2024-07-09 11:53:11,Apple Pay,13083.4
CUST164,2023-08-21 14:14:19,Debit Card,2377.58
CUST119,2025-02-21 02:19:34,Credit Card,4419.69
CUST120,2025-06-30 10:09:11,Debit Card,5166.7
CUST199,2024-09-25 11:28:20,Google Pay,2945.19
CUST100,2023-12-14 02:39:58,Debit Card,10775.6
CUST162,2024-12-11 14:14:48,Credit Card,8259.09
CUST146,2025-04-12 11:39:35,Apple Pay,4159.46
CUST139,2023-01-03 04:31:13,Credit Card,4979.48
CUST130,2023-05-26 03:39:35,Apple Pay,4671.79
CUST110,2025-08-27 06:22:05,Credit Card,1536.7
CUST162,2023-08-18 14:42:38,Apple Pay,3757.6
CUST197,2023-02-23 16:37:02,Debit Card,3736.7
CUST116,2024-02-23 18:59:29,Credit Card,11047.3
CUST160,2024-01-10 04:26:38,Google Pay,4450.6
CUST121,2024-02-16 16:25:06,Credit Card,3002.98
CUST177,2023-04-01 16:08:32,Credit Card,29222.76
CUST127,2023-04-04 19:01:10,Google Pay,2747.8
CUST196,2024-07-03 14:03:17,PayPal,2300.78
CUST125,2024-01-05 06:45:28,PayPal,2358.75
CUST151,2024-07-21 20:42:30,Afterpay,5539.24
CUST183,2025-06-08 16:04:03,Credit Card,3052.57
CUST166,2025-07-30 18:44:19,Debit Card,3087.7
