OrderLineID,OrderID,LineNumber,ProductID,Quantity,UnitPrice,DiscountAmount,TaxAmount,LineTotal
ORD1000-01,ORD1000,1,PROD221,1,675.37,337.69,33.77,371.45
ORD1000-02,ORD1000,2,PROD249,5,418.67,837.34,125.6,1381.61
ORD1000-03,ORD1000,3,PROD248,5,122.29,244.58,36.69,403.56
ORD1001-01,ORD1001,1,PROD204,4,900.27,1800.54,180.05,1980.59
ORD1001-02,ORD1001,2,PROD203,5,608.34,1216.68,182.5,2007.52
ORD1001-03,ORD1001,3,PROD223,4,598.09,239.24,215.31,2368.43
ORD1001-04,ORD1001,4,PROD219,1,342.35,34.24,30.81,338.92
ORD1002-01,ORD1002,1,PROD211,3,49.04,29.42,11.77,129.47
ORD1002-02,ORD1002,2,PROD239,1,366.52,36.65,32.99,362.86
ORD1002-03,ORD1002,3,PROD212,5,835.29,1670.58,250.59,2756.46
ORD1003-01,ORD1003,1,PROD233,3,950.54,570.32,228.13,2509.43
ORD1003-02,ORD1003,2,PROD210,4,810.63,324.25,291.83,3210.1
ORD1003-03,ORD1003,3,PROD203,1,608.34,60.83,54.75,602.26
ORD1004-01,ORD1004,1,PROD200,3,979.95,0.0,293.99,3233.84
ORD1004-02,ORD1004,2,PROD211,3,49.04,0.0,14.71,161.83
ORD1005-01,ORD1005,1,PROD202,1,354.52,0.0,35.45,389.97
ORD1005-02,ORD1005,2,PROD244,2,285.87,114.35,45.74,503.13
ORD1005-03,ORD1005,3,PROD228,2,513.36,102.67,92.41,1016.46
ORD1006-01,ORD1006,1,PROD205,1,47.19,23.59,2.36,25.96
ORD1006-02,ORD1006,2,PROD224,5,568.24,1136.48,170.47,1875.19
ORD1007-01,ORD1007,1,PROD237,1,224.53,22.45,20.21,222.29
ORD1007-02,ORD1007,2,PROD236,5,745.26,745.26,298.1,3279.14
ORD1007-03,ORD1007,3,PROD247,1,716.17,358.08,35.81,393.9
ORD1007-04,ORD1007,4,PROD243,1,557.19,222.88,33.43,367.74
ORD1008-01,ORD1008,1,PROD242,1,485.7,194.28,29.14,320.56
ORD1008-02,ORD1008,2,PROD228,5,513.36,1283.4,128.34,1411.74
ORD1009-01,ORD1009,1,PROD218,4,73.25,29.3,26.37,290.07
ORD1009-02,ORD1009,2,PROD224,2,568.24,568.24,56.82,625.06
ORD1009-03,ORD1009,3,PROD222,2,190.59,76.24,30.49,335.43
ORD1009-04,ORD1009,4,PROD217,1,459.04,91.81,36.72,403.95
ORD1010-01,ORD1010,1,PROD215,1,517.38,0.0,51.74,569.12
ORD1010-02,ORD1010,2,PROD212,3,835.29,501.17,200.47,2205.17
ORD1010-03,ORD1010,3,PROD220,5,448.13,448.13,179.25,1971.77
ORD1010-04,ORD1010,4,PROD223,2,598.09,239.24,95.69,1052.63
ORD1011-01,ORD1011,1,PROD248,1,122.29,48.92,7.34,80.71
ORD1011-02,ORD1011,2,PROD215,4,517.38,827.81,124.17,1365.88
ORD1011-03,ORD1011,3,PROD232,5,289.76,724.4,72.44,796.84
ORD1011-04,ORD1011,4,PROD211,1,49.04,24.52,2.45,26.97
ORD1012-01,ORD1012,1,PROD206,1,194.85,97.42,9.74,107.17
ORD1012-02,ORD1012,2,PROD217,1,459.04,45.9,41.31,454.45
ORD1012-03,ORD1012,3,PROD244,2,285.87,285.87,28.59,314.46
ORD1012-04,ORD1012,4,PROD232,2,289.76,231.81,34.77,382.48
ORD1013-01,ORD1013,1,PROD242,4,485.7,0.0,194.28,2137.08
ORD1013-02,ORD1013,2,PROD209,2,25.57,10.23,4.09,45.0
