OrderLineID,OrderID,LineNumber,ProductID,Quantity,UnitPrice,DiscountAmount,TaxAmount,LineTotal
ORD2000-01,ORD2000,1,MMI059,1,999.0,0.0,99.9,1098.9
ORD2000-02,ORD2000,2,MMI020,1,1169.0,58.45,111.06,1221.61
ORD2000-03,ORD2000,3,MMI004,1,1599.0,0.0,159.9,1758.9
ORD2000-04,ORD2000,4,MMI051,2,22.0,4.4,3.96,43.56
ORD2000-05,ORD2000,5,MMI058,1,6999.0,349.95,664.91,7313.96
ORD2001-01,ORD2001,1,MMI058,1,6999.0,0.0,699.9,7698.9
ORD2001-02,ORD2001,2,MMI053,6,129.0,0.0,77.4,851.4
ORD2001-03,ORD2001,3,MMI041,1,449.0,0.0,44.9,493.9
ORD2002-01,ORD2002,1,MMI052,5,29.0,14.5,13.05,143.55
ORD2002-02,ORD2002,2,MMI048,2,89.0,17.8,16.02,176.22
ORD2002-03,ORD2002,3,MMI014,2,649.0,194.7,110.33,1213.63
ORD2003-01,ORD2003,1,MMI010,2,749.0,0.0,149.8,1647.8
ORD2003-02,ORD2003,2,MMI053,1,129.0,19.35,10.97,120.62
ORD2003-03,ORD2003,3,MMI044,2,59.0,17.7,10.03,110.33
ORD2004-01,ORD2004,1,MMI005,1,499.0,0.0,49.9,548.9
ORD2004-02,ORD2004,2,MMI011,1,1399.0,139.9,125.91,1385.01
ORD2005-01,ORD2005,1,MMI056,2,1699.0,339.8,305.82,3364.02
ORD2005-02,ORD2005,2,MMI008,1,1199.0,0.0,119.9,1318.9
ORD2005-03,ORD2005,3,MMI002,2,1199.0,0.0,239.8,2637.8
ORD2005-04,ORD2005,4,MMI051,3,22.0,3.3,6.27,68.97
ORD2005-05,ORD2005,5,MMI011,1,1399.0,209.85,118.92,1308.07
ORD2006-01,ORD2006,1,MMI056,2,1699.0,339.8,305.82,3364.02
ORD2006-02,ORD2006,2,MMI016,1,649.0,97.35,55.16,606.81
ORD2007-01,ORD2007,1,MMI020,2,1169.0,0.0,233.8,2571.8
ORD2007-02,ORD2007,2,MMI038,2,1799.0,179.9,341.81,3759.91
ORD2007-03,ORD2007,3,MMI001,1,1299.0,64.95,123.41,1357.46
ORD2007-04,ORD2007,4,MMI004,1,1599.0,0.0,159.9,1758.9
ORD2007-05,ORD2007,5,MMI029,1,399.0,0.0,39.9,438.9
ORD2008-01,ORD2008,1,MMI034,1,1699.0,0.0,169.9,1868.9
ORD2008-02,ORD2008,2,MMI024,1,1499.0,0.0,149.9,1648.9
ORD2008-03,ORD2008,3,MMI051,2,22.0,2.2,4.18,45.98
ORD2008-04,ORD2008,4,MMI027,1,799.0,0.0,79.9,878.9
ORD2009-01,ORD2009,1,MMI015,2,799.0,0.0,159.8,1757.8
ORD2009-02,ORD2009,2,MMI012,2,1299.0,129.9,246.81,2714.91
ORD2010-01,ORD2010,1,MMI028,1,1399.0,0.0,139.9,1538.9
ORD2010-02,ORD2010,2,MMI026,1,2799.0,0.0,279.9,3078.9
ORD2010-03,ORD2010,3,MMI055,1,1599.0,0.0,159.9,1758.9
ORD2010-04,ORD2010,4,MMI035,1,449.0,0.0,44.9,493.9
ORD2011-01,ORD2011,1,MMI004,1,1599.0,0.0,159.9,1758.9
ORD2011-02,ORD2011,2,MMI025,1,1399.0,69.95,132.91,1461.96
ORD2012-01,ORD2012,1,MMI032,2,429.0,42.9,81.51,896.61
ORD2012-02,ORD2012,2,MMI012,1,1299.0,64.95,123.41,1357.46
ORD2012-03,ORD2012,3,MMI018,1,1199.0,59.95,113.91,1252.96
ORD2012-04,ORD2012,4,MMI014,2,649.0,0.0,129.8,1427.8
ORD2013-01,ORD2013,1,MMI025,1,1399.0,69.95,132.91,1461.96
