OrderID,CustomerID,OrderDate,PaymentMethod,OrderTotal
ORD1000,CUST185,2022-10-16 15:50:23,PayPal,2156.62
ORD1001,CUST197,2024-08-26 02:52:00,Debit Card,6695.46
ORD1002,CUST172,2023-02-26 01:28:59,Credit Card,3248.79
ORD1003,CUST132,2022-11-25 20:44:39,Debit Card,6321.79
ORD1004,CUST145,2022-11-04 09:42:37,PayPal,3395.67
ORD1005,CUST183,2024-09-22 20:15:08,Debit Card,1909.56
ORD1006,CUST167,2023-11-25 15:17:53,Debit Card,1901.15
ORD1007,CUST190,2023-07-22 22:44:23,Credit Card,4263.07
ORD1008,CUST131,2024-04-09 00:33:22,PayPal,1732.3
ORD1009,CUST102,2022-12-13 02:51:04,PayPal,1654.51
ORD1010,CUST133,2023-09-28 08:06:05,Credit Card,5798.69
ORD1011,CUST148,2024-11-26 20:30:20,Credit Card,2270.4
ORD1012,CUST198,2024-07-14 16:26:24,Debit Card,1258.56
ORD1013,CUST110,2023-11-12 02:29:17,Credit Card,2872.33
ORD1014,CUST167,2022-08-03 02:02:08,Debit Card,488.4
ORD1015,CUST149,2022-12-17 05:06:52,Credit Card,1855.16
ORD1016,CUST185,2024-01-02 03:33:17,Credit Card,919.89
ORD1017,CUST132,2023-07-12 11:22:44,PayPal,5034.05
ORD1018,CUST147,2024-01-15 23:04:44,Debit Card,4194.87
ORD1019,CUST183,2024-06-08 17:46:41,Credit Card,3893.06
ORD1020,CUST150,2024-07-28 17:32:58,Credit Card,1110.83
ORD1021,CUST102,2022-07-25 17:40:53,Credit Card,6076.25
ORD1022,CUST105,2023-10-29 07:53:25,PayPal,4227.62
ORD1023,CUST136,2023-03-16 06:29:40,Debit Card,1056.75
ORD1024,CUST101,2024-06-18 01:41:37,Debit Card,1519.11
ORD1025,CUST181,2022-12-31 13:49:15,Credit Card,3825.03
ORD1026,CUST151,2024-03-19 07:13:28,Credit Card,1848.26
ORD1027,CUST184,2024-10-15 05:54:00,Debit Card,5445.2
